"vessel_rnpa","name","port","economic_unit","src","seg_id","point_in_seg","datetime","lat","lon","sea","eez","mpa","fishing_region","distance_from_port_m","distance_from_shore_m","depth_m","reported_speed","course","year","month","distance_to_last_m","hours","implied_speed_knots"
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55064,2018-03-11 07:39:00,19.38242,-96.08168,5,8429,0,5,23127.3725628853,24266.1237716675,-97.3821487426758,12.872,166,2018,3,12282.0129967489,1,6.63175647772619
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55065,2018-03-11 08:39:00,19.29485,-96.0186,5,8429,0,5,18142.8521871567,18186.017870903,-67.2283630371094,11.263,141,2018,3,11787.8043143647,1,6.36490513734596
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55066,2018-03-11 09:39:00,19.2124,-95.95595,5,8429,0,5,17986.5643382072,18195.9122419357,-59.7593231201172,11.263,149,2018,3,11296.5439566434,1,6.09964576492623
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55067,2018-03-11 09:48:00,19.19937,-95.94592,5,8429,0,5,20209.3869447708,22012.5794410706,-62.3093528747559,11.263,136,2018,3,1793.2456821284,0.15,6.45516804221887
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55068,2018-03-11 10:39:00,19.12587,-95.90862,5,8429,0,5,18306.8484067917,22064.4891262054,-37.9892120361328,11.263,157,2018,3,9073.819014142,0.85,5.76408271766103
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55069,2018-03-11 11:38:00,19.036,-95.87102,5,8429,0,5,16746.4047670364,30763.6171579361,-26.3700103759766,11.263,158,2018,3,10758.2649886285,0.983333333333333,5.90745597354859
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55070,2018-03-11 11:39:00,19.036,-95.87102,5,8429,0,5,16746.4047670364,30763.6171579361,-26.3700103759766,11.263,158,2018,3,0,0.0166666666666667,0
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55071,2018-03-11 12:39:00,18.95712,-95.81652,5,8429,0,5,16615.6679391861,35464.4954204559,-26.3493690490723,9.654,143,2018,3,10489.3225160325,1,5.66378105617304
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55072,2018-03-11 13:39:00,18.87257,-95.77315,5,8429,0,5,15959.4491124153,44803.1425476074,-24.0008087158203,11.263,159,2018,3,10462.1243741991,1,5.64909523444874
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55073,2018-03-11 14:39:00,18.8001,-95.7475,5,8429,0,5,16327.3647427559,51880.3775310516,-26.1168193817139,8.045,155,2018,3,8508.07413214816,1,4.59399251195905
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55074,2018-03-11 15:39:00,18.76772,-95.76395,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3999.83338146794,1,2.15973724701292
"00074500","YELLOWFIN","TUXPAN  VER.","K & B TUNA, S.A. DE C.V.","11-20-MAR-2018","00074500_140",55075,2018-03-11 16:39:00,18.76775,-95.76395,5,8429,0,5,12370.6832528114,50831.5324783325,-10.2354307174683,0,0,2018,3,3.33957000001497,1,0.00180322354212471
