period,year,eu_id,vessel_id,effort_hours,catch_kg,cpue
subsidies,2018,3010002669,00066241,4714.766666666668,55902.82,11.856964289501773
no subsidies,2022,3010002800,00065938,3677.2166666666667,43322.4,11.781301981117965
subsidies,2019,3010002800,00066035,4982.116666666667,40913,8.21197148467686
no subsidies,2022,3010002669,00066217,3073.2833333333347,59226,19.27124627841016
subsidies,2017,3010003014,00066258,5702.083333333331,61456.6,10.777920350749
subsidies,2017,3010002669,00074500,4823.116666666666,41222.98,8.546958916606483
no subsidies,2020,3010002586,00032391,4378.833333333333,18602,4.248163513873559
no subsidies,2022,3010002586,00032391,3215.166666666668,24798.8,7.7130682701778
no subsidies,2020,3010002917,00073346,1674.4499999999996,10257,6.125593478455614
subsidies,2018,3010002933,00034389,4,3780,945
subsidies,2016,3010002917,00007120,5975.200000000004,65574.5,10.974444370062919
subsidies,2016,3010002768,00039214,5560.250000000003,67670.2,12.170352052515618
no subsidies,2020,3010002800,00066035,5381.966666666668,49816,9.25609597482952
no subsidies,2020,3010002669,00066191,5033.466666666667,49311.4,9.796707371990145
no subsidies,2020,3010002669,00074500,5078.216666666668,41741,8.219617779207265
subsidies,2019,3010002586,00032391,5491.55,19801,3.6057215176043194
no subsidies,2021,3010002933,00039180,5374.133333333334,49528,9.21599761822061
no subsidies,2020,3010002768,00039214,5466.366666666668,51608,9.44100590886085
subsidies,2016,3010002933,00064410,6292.950000000002,79784.2,12.678346403515041
subsidies,2019,3010002800,00065938,5691.4833333333345,40834,7.174579561859971
subsidies,2018,3010002917,00007120,5150.933333333334,47987,9.316175709256573
no subsidies,2021,3010002933,00008656,5898.3666666666695,73960,12.53906448677882
subsidies,2018,3010002768,00042630,5316.816666666667,36900,6.940243065242673
no subsidies,2021,3010002800,00065938,5415.0000000000055,50619,9.347922437673121
no subsidies,2021,3010002669,00066241,5190.566666666671,62145,11.972681210144033
subsidies,2016,3010002586,00032391,3967.7666666666714,38439,9.68781766400913
subsidies,2017,3010002933,00039180,971.2,8463,8.713962108731465
subsidies,2018,3010002669,00041129,3800.9666666666685,44538.85,11.717769163984594
no subsidies,2022,3010002669,00066142,2981.85,49549,16.61686536881466
no subsidies,2021,3010002669,00066167,4570.999999999999,58771,12.857361627652596
subsidies,2018,3010002917,00073346,3997.7833333333347,29228,7.311051541062336
subsidies,2019,3010002917,00073346,555.7,998,1.7959330574050745
subsidies,2019,2804000608,00900027,3705.166666666668,800,0.21591471368809315
no subsidies,2022,3010002669,00066241,3385.5499999999993,52451.6,15.492785514908954
no subsidies,2022,3010002933,00034389,2434.266666666666,30277.600000000002,12.438078545215538
subsidies,2019,3010002651,00034421,6124.966666666671,21680,3.539611099924351
subsidies,2018,3010002933,00039073,3860.266666666668,28873,7.479535092567005
subsidies,2016,3010002313,00066092,728.1,9910.8,13.61186650185414
no subsidies,2020,3010002669,00066142,4503.883333333333,39795.6,8.835841662565267
subsidies,2017,3105005106,00074427,5030.350000000002,48080.4,9.558062560259224
subsidies,2018,3105008944,00100149,1539.7000000000003,2263,1.4697668376956547
subsidies,2017,3010002669,00066241,4600.8333333333285,69678.584,15.144774642274967
no subsidies,2020,3010002669,00066241,4930.149999999999,46401,9.411681186170808
no subsidies,2022,3010002933,00008656,2680.2833333333356,51674.4,19.279454286549292
subsidies,2019,3010002503,00027516,4263.749999999999,20117,4.718147170917621
no subsidies,2021,3010002503,00027516,4693.666666666668,38575,8.218521411831544
no subsidies,2022,3010002503,00027516,2663.0500000000006,19680.1,7.390060269240155
subsidies,2016,3010002933,00039073,3642.216666666668,69771.8,19.156411159870586
no subsidies,2022,3010002800,00066035,3051.8166666666657,55618.2,18.22462030812249
no subsidies,2021,3010003014,00066258,4657.6,47792,10.261078667124698
subsidies,2017,3010002933,00034389,3203.8333333333317,21427.8,6.688175622951675
no subsidies,2021,3010002933,00034389,5402.399999999999,37560,6.952465570857398
no subsidies,2021,3010002933,00039073,5937.516666666663,54708,9.213953083640472
