"vessel_rnpa","name","port","economic_unit","src","seg_id","point_in_seg","datetime","lat","lon","sea","eez","mpa","fishing_region","distance_from_port_m","distance_from_shore_m","depth_m","reported_speed","course","year","month","distance_to_last_m","hours","implied_speed_knots"
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27206,2018-04-06 04:27:00,20.99398,-97.27855,5,8429,0,5,11664.0165448189,18655.3031206131,-14.5828895568848,12.872,39,2018,4,3331.082469467,NA,NA
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27207,2018-04-06 05:27:00,21.08718,-97.23118,5,8429,0,5,15970.0751304626,25464.9758338928,-20.1754398345947,12.872,343,2018,4,11482.4280979432,1,6.20001517167559
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27208,2018-04-06 06:27:00,21.18262,-97.24055,5,8429,0,5,19452.0518183708,33460.0448608398,-22.1967124938965,12.872,347,2018,4,10668.709264063,1,5.76064215122191
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27209,2018-04-06 07:27:00,21.28685,-97.2628,5,8429,0,5,15667.4042344093,41255.3310394287,-25.1127586364746,11.263,320,2018,4,11830.0771011995,1,6.38773061619844
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27210,2018-04-06 08:27:00,21.37503,-97.27647,5,8429,0,5,12487.0657920837,50949.7702121735,-23.063793182373,11.263,28,2018,4,9917.8655859854,1,5.3552189989122
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27211,2018-04-06 09:27:00,21.45552,-97.25908,5,8429,0,5,12275.2517461777,60563.5702610016,-27.6536083221436,11.263,45,2018,4,9139.41276585654,1,4.93488810251433
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27212,2018-04-06 10:27:00,21.5439,-97.22533,5,8429,0,5,15708.1782817841,66674.6735572815,-51.7517051696777,11.263,15,2018,4,10440.5642850139,1,5.6374537176101
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27213,2018-04-06 11:27:00,21.6377,-97.24388,5,8429,0,5,18164.4856929779,75714.9934768677,-94.1629409790039,11.263,345,2018,4,10616.6793261965,1,5.73254823228751
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27214,2018-04-06 12:27:00,21.7293,-97.26833,5,8429,0,5,21494.3632483482,76362.8780841827,-114.133316040039,11.263,321,2018,4,10505.6035540502,1,5.67257211341805
"00034389","PROPEMEX A-23-G","TUXPAN  VER.","PESCADOS Y MARISCOS MORA, S.A. DE C.V.","01-10-ABR-2018","00034389_117",27215,2018-04-06 13:27:00,21.81485,-97.31852,5,8429,0,5,25370.4190254211,67424.5893955231,-105.559066772461,11.263,330,2018,4,10844.3092159374,1,5.85545853992302
